number,name,f1prime
0,VL,0
1,Photo_1,0.019892024
2,Photo_2,0.044344779
3,Photo_3,0.07930542
4,Photo_4,0.017254863
5,Photo_5,0.017928194
6,Photo_6,0.02001086
7,Photo_7,0.018446519
8,Photo_8,0.060040567
9,Photo_9,0.05971918
10,Photo_10,0.072566221
11,Photo_11,0.025502887
12,Photo_12,0.014335187
13,Photo_13,0.025904354
14,Photo_14,0.022364687
15,Photo_15,0.013590253
16,Photo_16,0.014515272
17,Photo_17,0.014051016
18,Photo_18,0.012647999
19,Photo_19,0.013224769
20,Photo_20,0.012950416
21,Photo_21,0.017793735
22,Photo_22,0.019129421
23,Photo_23,0.018503235
24,Photo_24,0.01506221
25,Photo_25,0.016187926
26,Photo_26,0.015655107
27,Photo_27,0.015216851
28,Photo_28,0.015394244
29,Photo_29,0.01518307
30,Photo_30,0.019653455
31,Photo_31,0.041587793
32,Photo_32,0.029768252
33,Photo_33,0.035192996
34,Photo_34,0.030304459
35,Photo_35,0.038383854
36,Photo_36,0.03819542
37,Photo_37,0.02343903
38,Photo_38,0.036650669
39,Photo_39,0.032773548
40,Photo_40,0.018559508
41,Photo_41,0.037134368
42,Photo_42,0.042127488
43,Photo_43,0.045884231
44,Photo_44,0.083395491
45,Photo_45,0.04457005
46,Photo_46,0.027667602
47,Photo_47,0.052109327
48,Photo_48,0.041463616
49,Photo_49,0.059532802
50,Photo_50,0.058230089
51,Photo_51,0.043879095
52,Photo_52,0.05169827
53,Photo_53,0.01954843
54,Photo_54,0.06232569
55,Photo_55,0.08423175
56,Photo_56,0.025857415
57,Photo_57,0.065861392
58,Photo_58,0.073819466
59,Photo_59,0.0268934
60,Photo_60,0.080094415
61,Photo_61,0.08877242
62,Photo_62,0.073607125
63,Photo_63,0.023818698
64,Photo_64,0.005735092
65,Photo_65,0.007304626
66,Photo_66,0.018703911
67,Photo_67,0.021491776
68,Photo_68,0.029874779
69,Photo_69,0.030776393
70,Photo_70,0.061674157
71,Photo_71,0.060031956
72,Photo_72,0.059714699
73,Photo_73,0.072587391
74,Photo_74,0.025500852
75,Photo_75,0.014156782
76,Photo_76,0.025900594
77,Photo_77,0.02236396
78,Photo_78,0.018817371
79,Photo_79,0.019934889
80,Photo_80,0.019930392
81,Photo_81,0.020570085
82,Photo_82,0.020828762
83,Photo_83,0.020530606
84,Photo_84,0.02105925
85,Photo_85,0.021454982
86,Photo_86,0.021051409
87,Photo_87,0.021735259
88,Photo_88,0.021363012
89,Photo_89,0.021669342
90,Photo_90,0.021580307
91,Photo_91,0.021492921
92,Photo_92,0.021787787
93,Photo_93,0.022162939
94,Photo_94,0.022426194
95,Photo_95,0.022174221
96,Photo_96,0.022437237
97,Photo_97,0.022996939
98,Photo_98,0.022785192
99,Photo_99,0.022959402
100,Photo_100,0.02331645
101,Photo_101,0.023979449
102,Photo_102,0.023874001
103,Photo_103,0.024214697
104,Photo_104,0.024799813
105,Photo_105,0.024629603
106,Photo_106,0.026622206
107,Photo_107,0.027954483
108,Photo_108,0.016144262
109,Photo_109,0.008853967
110,Photo_110,0.022543561
111,Photo_111,0.023497726
112,Photo_112,0.022748273
113,Photo_113,0.007344016
114,Photo_114,0.010081446
115,Photo_115,0.016477643
116,Photo_116,0.009905405
117,Photo_117,0.0091562
118,Photo_118,0.012925832
119,Photo_119,0.016814972
120,Photo_120,0.012055123
