number,name,duv
0,NLA,0
1,5903 K & -0.005,-0.004732372
2,3579 K & 0.015,0.015122304
3,5933 K & -0.018,-0.018241198
4,5861 K & -0.019,-0.018789462
5,3204 K & 0.016,0.016338504
6,3095 K & -0.002,-0.001710651
7,3607 K & 0.001,0.001374869
8,6032 K & 0.012,0.011668282
9,5232 K & -0.004,-0.004254488
10,4752 K & 0.003,0.003297923
11,4752 K & 0.003,0.003297923
12,6420 K & -0.001,-0.001092939
13,3450 K & 0.012,0.012095103
14,2610 K & -0.011,-0.011287094
15,4511 K & 0.016,0.015680124
16,4094 K & -0.017,-0.016673385
17,4452 K & 0.006,0.005700003
18,4452 K & 0.006,0.005700003
19,4565 K & -0.009,-0.009373966
20,4082 K & 0.007,0.006639397
21,4268 K & 0.011,0.011336787
22,2600 K & -0.007,-0.006972357
23,5192 K & 0.002,0.002303202
24,4179 K & 0.007,0.007456011
25,3977 K & -0.004,-0.004496027
26,6329 K & 0.015,0.015082295
27,4763 K & 0.007,0.006933282
28,6065 K & -0.018,-0.018182262
29,5870 K & -0.013,-0.012962528
30,5636 K & -0.018,-0.018347247
31,3607 K & -0.016,-0.015610966
32,3632 K & 0.008,0.008495295
33,3241 K & 0.011,0.011260494
34,5560 K & -0.009,-0.008848574
35,3691 K & 0.003,0.00293181
36,6312 K & 0.019,0.019414389
37,5041 K & 0.012,0.012163337
38,6014 K & -0.015,-0.014917778
39,6014 K & -0.015,-0.014917778
40,3535 K & -0.006,-0.005762471
41,3520 K & -0.005,-0.005291524
42,6338 K & 0.016,0.016409858
43,3408 K & 0.018,0.018401932
44,5543 K & 0.008,0.008132602
45,4544 K & -0.005,-0.004540073
46,5572 K & 0.006,0.005800138
47,3348 K & -0.009,-0.008882698
48,3961 K & 0.015,0.014901166
49,2902 K & -0.017,-0.01678916
50,3306 K & -0.008,-0.00840013
51,3767 K & -0.002,-0.002258585
52,5353 K & 0.000,0.000103786
53,2623 K & 0.010,0.009601834
54,2849 K & -0.003,-0.002956839
55,5867 K & -0.005,-0.005296401
56,5788 K & -0.016,-0.015823564
57,6286 K & 0.010,0.009755551
58,3670 K & 0.001,0.000562131
59,3933 K & -0.014,-0.014032099
60,6401 K & -0.004,-0.004424354
61,5334 K & 0.013,0.01289005
62,3460 K & -0.006,-0.006094361
63,4144 K & 0.019,0.018668822
64,5955 K & 0.014,0.013879011
65,3386 K & 0.003,0.00295547
66,5196 K & 0.010,0.010271091
67,4386 K & -0.011,-0.011272218
68,6406 K & 0.003,0.002930197
69,4547 K & -0.011,-0.010749564
70,5202 K & 0.002,0.002421235
71,3064 K & 0.016,0.016473345
72,3463 K & -0.006,-0.006048758
73,2726 K & 0.007,0.007050312
74,4916 K & -0.008,-0.0077144
75,6153 K & 0.019,0.018671766
76,3944 K & 0.008,0.00823341
77,3439 K & -0.018,-0.018250429
78,3825 K & 0.012,0.012199158
79,5378 K & 0.012,0.012458228
80,5646 K & 0.002,0.001904826
81,3618 K & -0.005,-0.004563099
82,2628 K & -0.016,-0.016458731
83,3486 K & 0.007,0.007429614
84,5018 K & 0.005,0.005017718
85,5093 K & -0.016,-0.015821974
86,5935 K & 0.001,0.000553428
87,4827 K & 0.016,0.015592848
88,4295 K & 0.003,0.002999667
89,2863 K & -0.020,-0.019533928
90,5936 K & 0.010,0.010013951
91,3315 K & 0.002,0.001958213
92,5076 K & 0.000,0.000395154
93,5217 K & 0.007,0.006864791
94,2998 K & -0.012,-0.012328623
95,3636 K & 0.001,0.001457317
96,4570 K & 0.000,-0.000157133
